date,weight,weight trend,month,day,calories,carbs,fat,protein,sodium,sugar
2020-11-14,65.1,65.108765,11,14,1921,202,65,133,1422,53
2020-11-15,64.7,65.05218,11,15,1944,239,48,149,755,94
2020-11-17,64.4,64.889854,11,17,1837,221,41,147,2486,50
2020-11-19,64.7,64.84273,11,19,2241,251,65,157,1912,34
2020-11-20,64.5,64.79616,11,20,1968,233,54,144,1161,39
2020-11-21,64.7,64.78374000000001,11,21,1979,229,51,152,1005,82
2020-11-22,64.3,64.71735,11,22,2078,223,61,148,1777,49
2020-11-25,64.8,64.6981,11,25,2036,245,51,154,981,93
2020-11-26,64.2,64.63101999999999,11,26,2170,168,38,141,662,68
2020-11-27,64.7,64.640396,11,27,2274,241,55,179,1623,73
2020-11-28,64.7,64.64805600000001,11,28,2428,249,68,170,2069,100
2020-11-29,64.3,64.60106999999999,11,29,2165,246,49,151,1753,62
2020-12-02,64.4,64.53098,12,2,2103,278,25,154,2320,95
2020-12-06,64.9,64.69141,12,6,2366,306,24,155,2435,89
2020-12-07,65.1,64.74724,12,7,2463,144,14,130,1906,22
2020-12-08,64.9,64.767586,12,8,2049,305,26,158,4030,82
2020-12-09,64.4,64.719604,12,9,2175,302,31,166,4310,56
2020-12-10,64.3,64.66471999999999,12,10,2078,325,29,144,3566,88
2020-12-12,64.3,64.57415999999999,12,12,2334,347,35,169,1732,126
2020-12-13,64.6,64.57764,12,13,2298,356,23,154,3512,119
2020-12-14,64.6,64.58067,12,14,2243,337,30,150,2002,127
2020-12-16,64.3,64.51099,12,16,2350,349,25,165,2198,118
2020-12-17,64.2,64.47012,12,17,2213,349,27,142,2430,110
2020-12-19,64.3,64.42759000000001,12,19,2455,382,21,174,2221,132
2020-12-20,64.6,64.45088,12,20,2075,350,16,151,2757,148
2020-12-21,64.6,64.47008000000001,12,21,2414,377,23,163,2102,139
2020-12-22,64.8,64.51436600000001,12,22,2547,421,29,179,2299,184
2020-12-24,64.6,64.53580500000001,12,24,2317,363,20,170,2684,107
2020-12-25,64.7,64.55633,12,25,2752,268,30,140,2754,57
2020-12-27,64.9,64.617226,12,27,2365,236,46,168,2794,41
2020-12-28,64.6,64.61355,12,28,2427,376,27,166,2881,138
2020-12-29,64.5,64.59864,12,29,2379,357,29,174,2272,101
2020-12-30,64.7,64.6123,12,30,2390,354,31,168,1719,100
2021-01-01,64.3,64.54614000000001,1,1,2373,326,34,175,2769,91
2021-01-02,64.7,64.56685,1,2,2485,368,33,185,2385,110
2021-01-03,64.5,64.55809,1,3,2291,304,33,187,3159,56
