species,bill_depth_mm,flipper_length_mm,body_mass_g
0,18.7,181,3750
0,17.4,186,3800
0,18,195,3250
0,19.3,193,3450
0,20.6,190,3650
0,17.8,181,3625
0,19.6,195,4675
0,17.6,182,3200
0,21.2,191,3800
0,21.1,198,4400
0,17.8,185,3700
0,19,195,3450
0,20.7,197,4500
0,18.4,184,3325
0,21.5,194,4200
0,18.3,174,3400
0,18.7,180,3600
0,19.2,189,3800
0,18.1,185,3950
0,17.2,180,3800
0,18.9,187,3800
0,18.6,183,3550
0,17.9,187,3200
0,18.6,172,3150
0,18.9,180,3950
0,16.7,178,3250
0,18.1,178,3900
0,17.8,188,3300
0,18.9,184,3900
0,17,195,3325
0,21.1,196,4150
0,20,190,3950
0,18.5,180,3550
0,19.3,181,3300
0,19.1,184,4650
0,18,182,3150
0,18.4,195,3900
0,18.5,186,3100
0,19.7,196,4400
0,16.9,185,3000
0,18.8,190,4600
0,19,182,3425
0,17.9,190,3450
0,21.2,191,4150
0,17.7,186,3500
0,18.9,188,4300
0,17.9,190,3450
0,19.5,200,4050
0,18.1,187,2900
0,18.6,191,3700
0,17.5,186,3550
0,18.8,193,3800
0,16.6,181,2850
0,19.1,194,3750
0,16.9,185,3150
0,21.1,195,4400
0,17,185,3600
0,18.2,192,4050
0,17.1,184,2850
0,18,192,3950
0,16.2,195,3350
0,19.1,188,4100
0,16.6,190,3050
0,19.4,198,4450
0,19,190,3600
0,18.4,190,3900
0,17.2,196,3550
0,18.9,197,4150
0,17.5,190,3700
0,18.5,195,4250
0,16.8,191,3700
0,19.4,184,3900
0,16.1,187,3550
0,19.1,195,4000
0,17.2,189,3200
0,17.6,196,4700
0,18.8,187,3800
0,19.4,193,4200
0,17.8,191,3350
0,20.3,194,3550
0,19.5,190,3800
0,18.6,189,3500
0,19.2,189,3950
0,18.8,190,3600
0,18,202,3550
0,18.1,205,4300
0,17.1,185,3400
0,18.1,186,4450
0,17.3,187,3300
0,18.9,208,4300
0,18.6,190,3700
0,18.5,196,4350
0,16.1,178,2900
0,18.5,192,4100
0,17.9,192,3725
0,20,203,4725
0,16,183,3075
0,20,190,4250
0,18.6,193,2925
0,18.9,184,3550
0,17.2,199,3750
0,20,190,3900
0,17,181,3175
0,19,197,4775
0,16.5,198,3825
0,20.3,191,4600
0,17.7,193,3200
0,19.5,197,4275
0,20.7,191,3900
0,18.3,196,4075
0,17,188,2900
0,20.5,199,3775
0,17,189,3350
0,18.6,189,3325
0,17.2,187,3150
0,19.8,198,3500
0,17,176,3450
0,18.5,202,3875
0,15.9,186,3050
0,19,199,4000
0,17.6,191,3275
0,18.3,195,4300
0,17.1,191,3050
0,18,210,4000
0,17.9,190,3325
0,19.2,197,3500
0,18.5,193,3500
0,18.5,199,4475
0,17.6,187,3425
0,17.5,190,3900
0,17.5,191,3175
0,20.1,200,3975
0,16.5,185,3400
0,17.9,193,4250
0,17.1,193,3400
0,17.2,187,3475
0,15.5,188,3050
0,17,190,3725
0,16.8,192,3000
0,18.7,185,3650
0,18.6,190,4250
0,18.4,184,3475
0,17.8,195,3450
0,18.1,193,3750
0,17.1,187,3700
0,18.5,201,4000
1,17.9,192,3500
1,19.5,196,3900
1,19.2,193,3650
1,18.7,188,3525
1,19.8,197,3725
1,17.8,198,3950
1,18.2,178,3250
1,18.2,197,3750
1,18.9,195,4150
1,19.9,198,3700
1,17.8,193,3800
1,20.3,194,3775
1,17.3,185,3700
1,18.1,201,4050
1,17.1,190,3575
1,19.6,201,4050
1,20,197,3300
1,17.8,181,3700
1,18.6,190,3450
1,18.2,195,4400
1,17.3,181,3600
1,17.5,191,3400
1,16.6,187,2900
1,19.4,193,3800
1,17.9,195,3300
1,19,197,4150
1,18.4,200,3400
1,19,200,3800
1,17.8,191,3700
1,20,205,4550
1,16.6,187,3200
1,20.8,201,4300
1,16.7,187,3350
1,18.8,203,4100
1,18.6,195,3600
1,16.8,199,3900
1,18.3,195,3850
1,20.7,210,4800
1,16.6,192,2700
1,19.9,205,4500
1,19.5,210,3950
1,17.5,187,3650
1,19.1,196,3550
1,17,196,3500
1,17.9,196,3675
1,18.5,201,4450
1,17.9,190,3400
1,19.6,212,4300
1,18.7,187,3250
1,17.3,198,3675
1,16.4,199,3325
1,19,201,3950
1,17.3,193,3600
1,19.7,203,4050
1,17.3,187,3350
1,18.8,197,3450
1,16.6,191,3250
1,19.9,203,4050
1,18.8,202,3800
1,19.4,194,3525
1,19.5,206,3950
1,16.5,189,3650
1,17,195,3650
1,19.8,207,4000
1,18.1,202,3400
1,18.2,193,3775
1,19,210,4100
1,18.7,198,3775
